"Player","Pos","Team","Penalty Ct","Yds","Declined","Offsetting","Total Flags","Pre-Snap","Ct/Game","Yds/Game","% of Team","Penalties"
"D.Schultz","TE","Dallas",5,50,0,0,5,1,0.31,3.13,5.21,"Offensive Holding (2), False Start (1), Unnecessary Roughness (1), Offensive Pass Interference (1)"
"K.Zeitler","G","N.Y. Giants",5,30,0,0,5,4,0.31,1.88,6.17,"False Start (4), Offensive Holding (1)"
"T.Conklin","TE","Minnesota",5,40,0,0,5,2,0.31,2.5,6.1,"Offensive Holding (3), False Start (2)"
"D.Brunskill","OL","San Francisco",5,36,0,0,5,1,0.31,2.25,5.88,"False Start (1), Offensive Holding (1), Illegal Block Above the Waist (1), Illegal Use of Hands (1), Ineligible Downfield Pass (1)"
"D.Holmes","CB","N.Y. Giants",5,46,0,0,5,0,0.31,2.88,6.17,"Defensive Pass Interference (2), Defensive Holding (2), Illegal Contact (1)"
"A.Thomas","T","N.Y. Giants",5,35,0,0,5,3,0.31,2.19,6.17,"False Start (3), Offensive Holding (2)"
"E.Murray","DB","Houston",5,40,0,0,5,0,0.31,2.5,6.25,"Illegal Use of Hands (2), Defensive Pass Interference (1), Face Mask (15 Yards) (1), Defensive Holding (1)"
"J.Hargrave","DT","Philadelphia",5,25,0,0,5,5,0.31,1.56,4.67,"Neutral Zone Infraction (4), Encroachment (1)"
"A.Terrell","CB","Atlanta",5,49,0,0,5,0,0.31,3.06,6.02,"Defensive Pass Interference (3), Face Mask (15 Yards) (1), Roughing the Passer (1)"
"R.Douglas","CB","Carolina",5,32,0,0,5,1,0.31,2,5.26,"Defensive Holding (2), Unnecessary Roughness (1), Illegal Use of Hands (1), Defensive Offside (1)"
"T.Pride","CB","Carolina",5,52,0,0,5,1,0.31,3.25,5.26,"Defensive Pass Interference (2), Defensive Holding (2), Defensive Offside (1)"
"R.Hunt","OL","Miami",5,35,0,0,5,3,0.31,2.19,6.76,"False Start (3), Offensive Holding (2)"
"D.Slay","CB","Philadelphia",5,57,0,0,5,0,0.31,3.56,4.67,"Defensive Pass Interference (2), Illegal Contact (1), Unsportsmanlike Conduct (1), Defensive Holding (1)"
"S.Murphy-Bunting","CB","Tampa Bay",6,54,0,0,6,1,0.3,2.7,5.94,"Defensive Holding (3), Defensive Pass Interference (1), Horse Collar Tackle (1), Encroachment (1)"
"M.Moses","T","Washington",5,44,1,0,6,1,0.29,2.59,6.74,"Illegal Use of Hands (2), Offensive Holding (2), False Start (1), Ineligible Downfield Pass (1)"
"J.Moreland","CB","Washington",5,24,1,0,6,3,0.29,1.41,6.74,"Defensive Offside (3), Offensive Holding (2), Defensive Holding (1)"
"C.Okorafor","OL","Pittsburgh",5,55,0,0,5,1,0.29,3.24,5.88,"Offensive Holding (2), False Start (1), Unnecessary Roughness (1), Face Mask (15 Yards) (1)"
"M.Iupati","G","Seattle",5,40,0,0,5,2,0.29,2.35,5.38,"False Start (2), Offensive Holding (2), Illegal Use of Hands (1)"
"B.Skrine","CB","Chicago",5,36,0,0,5,0,0.29,2.12,5.15,"Defensive Pass Interference (2), Illegal Contact (2), Offensive Holding (1)"
"G.Ifedi","OL","Chicago",5,40,0,0,5,3,0.29,2.35,5.15,"False Start (3), Offensive Holding (1), Chop Block (1)"
"B.Shell","T","Seattle",5,29,0,0,5,3,0.29,1.71,5.38,"False Start (3), Offensive Holding (1), Ineligible Downfield Pass (1)"
"M.Humphrey","CB","Baltimore",5,116,3,0,8,0,0.28,6.44,6.84,"Defensive Pass Interference (7), Defensive Holding (1)"
"J.Jackson","CB","Green Bay",5,70,1,0,6,0,0.28,3.89,6.45,"Defensive Pass Interference (4), Unnecessary Roughness (1), Defensive Holding (1)"
"T.Higbee","TE","LA Rams",5,40,0,0,5,2,0.28,2.22,6.58,"False Start (2), Offensive Pass Interference (1), Offensive Holding (1), Illegal Block Above the Waist (1)"
"A.Whitworth","OL","LA Rams",5,29,0,0,5,3,0.28,1.61,6.58,"False Start (2), Offensive Holding (1), Ineligible Downfield Pass (1), Offensive Offside (1)"
"R.Ramczyk","T","New Orleans",5,35,0,0,5,3,0.28,1.94,4.67,"False Start (3), Offensive Holding (2)"
"M.Andrews","TE","Baltimore",5,17,0,0,5,4,0.28,0.94,4.27,"False Start (4), Illegal Touch Pass (1)"
"O.Brown","T","Baltimore",5,30,0,0,5,4,0.28,1.67,4.27,"False Start (3), Offensive Holding (1), Illegal Formation (1)"
"R.Tonyan","TE","Green Bay",5,45,0,0,5,1,0.28,2.5,5.38,"Offensive Holding (3), False Start (1), Illegal Block Above the Waist (1)"
"A.Corbett","OL","LA Rams",5,30,0,0,5,4,0.28,1.67,6.58,"False Start (4), Offensive Holding (1)"
"O.Vernon","DE","Cleveland",5,28,0,0,5,4,0.28,1.56,4.72,"Defensive Offside (3), Neutral Zone Infraction (1), Lowering the Head to Initiate Contact (1)"
"B.Winters","G","Buffalo",5,40,1,1,7,2,0.26,2.11,6.36,"Offensive Holding (3), False Start (2), Illegal Block Above the Waist (1), Ineligible Downfield Pass (1)"
"N.Allegretti","G","Kansas City",5,45,1,0,6,1,0.26,2.37,4.76,"Offensive Holding (4), False Start (1), Ineligible Downfield Pass (1)"
"M.Remmers","T","Kansas City",5,40,1,0,6,2,0.26,2.11,4.76,"Offensive Holding (4), False Start (2)"
"E.Fisher","T","Kansas City",5,35,0,0,5,2,0.26,1.84,3.97,"False Start (2), Offensive Holding (1), Illegal Use of Hands (1), Ineligible Downfield Pass (1)"
