"Player","team","pos","base"
"Halapoulivaati Vaitai","DET","RT","$4,000,000"
"Shawn Williams","CIN","SS","$3,935,000"
"James Bradberry","NYG","CB","$3,900,000"
"Jesse Davis","MIA","RT","$3,855,000"
"Jesse James","DET","TE","$3,800,000"
"Jakeem Grant","MIA","WR","$3,780,000"
"Randall Cobb","HOU","WR","$3,750,000"
"Emmanuel Ogbah","MIA","DE","$3,750,000"
"Quinton Jefferson","BUF","DT","$3,750,000"
"Johnathan Hankins","LV","DT","$3,750,000"
"James Carpenter","ATL","G","$3,750,000"
"Willie Snead","BAL","WR","$3,662,059"
"Duke Johnson","HOU","RB","$3,600,000"
"Daniel Sorensen","KC","FS","$3,600,000"
"Bradley McDougald","NYJ","SS","$3,600,000"
"Shamar Stephen","MIN","DT","$3,600,000"
"Jake Matthews","ATL","LT","$3,550,000"
"Duron Harmon","DET","SS","$3,500,000"
"J.R. Sweezy","ARI","G","$3,500,000"
"Jason Witten","LV","TE","$3,500,000"
"Johnny Hekker","LAR","P","$3,500,000"
"Todd Gurley","ATL","RB","$3,500,000"
"Justin Tucker","BAL","K","$3,500,000"
"Tyler Kroft","BUF","TE","$3,400,000"
"Abry Jones","JAC","DT","$3,400,000"
"Danielle Hunter","MIN","DE","$3,400,000"
"Jalen Richard","LV","RB","$3,375,000"
"Julian Edelman","NE","WR","$3,300,000"
"Kendrick Bourne","SF","WR","$3,259,000"
"Roy Robertson-Harris","CHI","DT","$3,259,000"
"Michael Davis","LAC","CB","$3,259,000"
"Matt Breida","MIA","RB","$3,259,000"
"Adam Butler","NE","DT","$3,259,000"
"Matt Feiler","PIT","RT","$3,259,000"
"Mike Hilton","PIT","CB","$3,259,000"
"Keelan Cole","JAC","WR","$3,259,000"
"Mike Purcell","DEN","DE","$3,259,000"
"Elijah Wilkinson","DEN","G","$3,259,000"
"Zane Gonzalez","ARI","K","$3,259,000"
"Jacob Hollister","SEA","TE","$3,259,000"
"Nicholas Morrow","LV","OLB","$3,259,000"
"Eric Wilson","MIN","OLB","$3,259,000"
"Quinton Dunbar","SEA","CB","$3,250,000"
"Damien Wilson","KC","OLB","$3,200,000"
"Jonathan Jones","NE","CB","$3,200,000"
"Bradley Roby","HOU","CB","$3,176,471"
"Wil Lutz","NO","K","$3,100,000"
"Ty Nsekhe","BUF","LT","$3,100,000"
